date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:46:16	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:22%20GMT	https://shibainutoken.me/robots.txt		(from )
03:46:16	5684/5684	U-----	200	untouched ('OK')	text/html	date:Tue,%2017%20May%202022%2010:44:11%20GMT	https://shibainutoken.me/	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/index.html	(from )
03:46:18	163873/163873	U-----	200	untouched ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/SHIBAINU/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://shibainutoken.me/)
03:46:18	1853/1853	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Nov%202021%2008:30:47%20GMT	https://shibainutoken.me/blockchain.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/blockchain.png	(from https://shibainutoken.me/)
03:46:18	1735/1735	U-----	200	untouched ('')	image/png	date:Sat,%2030%20Oct%202021%2012:14:26%20GMT	https://shibainutoken.me/favicon.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/favicon.png	(from https://shibainutoken.me/)
03:46:18	211/211	U-----	200	untouched ('OK')	text/css	date:Sat,%2030%20Oct%202021%2013:09:22%20GMT	https://shibainutoken.me/anazor.css?1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/anazor8132.css	(from https://shibainutoken.me/)
03:46:19	29154/29154	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2030%20Oct%202021%2012:17:38%20GMT	https://shibainutoken.me/shib-logo.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/shib-logo.svg	(from https://shibainutoken.me/)
03:46:20	78129/78129	U-----	200	untouched ('')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/SHIBAINU/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://shibainutoken.me/)
03:46:21	10540/-1	U--M--	200	updated ('OK')	text/html	date:Tue,%2017%20May%202022%2010:46:26%20GMT	https://shibainutoken.me/trustwallet.php?ref=&xyz=1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/trustwalletf30d.html	(from https://shibainutoken.me/)
03:46:21	10688/10688	U-----	200	untouched ('OK')	text/html	date:Tue,%2017%20May%202022%2010:44:21%20GMT	https://shibainutoken.me/blockchain.php?ref=&xyz=1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/blockchainf30d.html	(from https://shibainutoken.me/)
03:46:21	8672/8672	U-----	200	untouched ('')	image/png	date:Sat,%2030%20Oct%202021%2012:59:46%20GMT	https://shibainutoken.me/Untitledx1.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/Untitledx1.png	(from https://shibainutoken.me/)
03:46:22	11026/11026	U-----	200	untouched ('')	text/javascript	etag:7a63c1e58f7bc9a8d08288df504c3706	https://kit.fontawesome.com/9ac116f6ba.js	C:/My%20Web%20Sites/SHIBAINU/kit.fontawesome.com/9ac116f6ba.js	(from https://shibainutoken.me/)
03:46:23	27392/27392	U-----	200	untouched ('')	image/png	date:Sat,%2030%20Oct%202021%2012:49:35%20GMT	https://shibainutoken.me/shiba_coin-1.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/shiba_coin-1.png	(from https://shibainutoken.me/)
03:46:23	3231/3231	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2030%20Oct%202021%2012:59:33%20GMT	https://shibainutoken.me/metamask-fox.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/metamask-fox.svg	(from https://shibainutoken.me/)
03:46:23	12959/-1	U--M--	200	updated ('OK')	text/html	date:Tue,%2017%20May%202022%2010:46:29%20GMT	https://shibainutoken.me/metamask.php?ref=&xyz=1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/metamaskf30d.html	(from https://shibainutoken.me/)
03:46:25	89501/89501	U-----	200	untouched ('')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/SHIBAINU/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://shibainutoken.me/trustwallet.php?ref=&xyz=1652784251)
03:46:25	745502/745502	U-----	200	untouched ('OK')	text/css	date:Sat,%2030%20Oct%202021%2013:20:14%20GMT	https://shibainutoken.me/indexcoba1.css	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/indexcoba1.css	(from https://shibainutoken.me/trustwallet.php?ref=&xyz=1652784251)
03:46:25	5248/5248	U-----	200	untouched ('')	image/png	date:Sat,%2030%20Oct%202021%2013:21:24%20GMT	https://shibainutoken.me/jalogo.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/jalogo.png	(from https://shibainutoken.me/trustwallet.php?ref=&xyz=1652784251)
03:46:26	1253/1253	U-----	200	untouched ('')	application/javascript	date:Sun,%2028%20Nov%202021%2008:00:17%20GMT	https://shibainutoken.me/api/v0/js/core.js?1652784261	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/api/v0/js/coref99a.js	(from https://shibainutoken.me/blockchain.php?ref=&xyz=1652784251)
03:46:27	59438/59438	---M--	404	error ('Not%20Found')	text/html	etag:%2262837bda-e82e%22	https://metamask.io/images/favicon.png	C:/My%20Web%20Sites/SHIBAINU/metamask.io/images/favicon.14.delayed	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:46:29	5020/5020	U-----	200	untouched ('OK')	image/svg+xml	date:Sat,%2030%20Oct%202021%2013:13:49%20GMT	https://shibainutoken.me/metamask-logo-horizontal.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/metamask-logo-horizontal.svg	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:46:29	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:36%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.eot	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.18.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:31	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:38%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.woff	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.1b.delayed	(from https://shibainutoken.me/indexcoba1.css)
03:46:33	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:46:39%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.1d.delayed	(from https://shibainutoken.me/indexcoba1.css)
