date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:44:04	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:44:10%20GMT	https://shibainutoken.me/robots.txt		(from )
03:44:04	5684/5684	---M--	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2010:44:11%20GMT	https://shibainutoken.me/	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/index.html	(from )
03:44:06	163873/163873	---M--	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/SHIBAINU/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://shibainutoken.me/)
03:44:08	211/211	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2013:09:22%20GMT	https://shibainutoken.me/anazor.css?1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/anazor8132.css	(from https://shibainutoken.me/)
03:44:10	27392/27392	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Oct%202021%2012:49:35%20GMT	https://shibainutoken.me/shiba_coin-1.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/shiba_coin-1.png	(from https://shibainutoken.me/)
03:44:12	12959/12959	---M--	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2010:44:18%20GMT	https://shibainutoken.me/metamask.php?ref=&xyz=1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/metamaskf30d.html	(from https://shibainutoken.me/)
03:44:13	8672/8672	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Oct%202021%2012:59:46%20GMT	https://shibainutoken.me/Untitledx1.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/Untitledx1.png	(from https://shibainutoken.me/)
03:44:15	10688/10688	---M--	200	added ('OK')	text/html	date:Tue,%2017%20May%202022%2010:44:21%20GMT	https://shibainutoken.me/blockchain.php?ref=&xyz=1652784251	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/blockchainf30d.html	(from https://shibainutoken.me/)
03:44:16	78129/78129	---M--	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/SHIBAINU/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://shibainutoken.me/)
03:44:18	11026/11026	---M--	200	added ('OK')	text/javascript	etag:7a63c1e58f7bc9a8d08288df504c3706	https://kit.fontawesome.com/9ac116f6ba.js	C:/My%20Web%20Sites/SHIBAINU/kit.fontawesome.com/9ac116f6ba.js	(from https://shibainutoken.me/)
03:44:19	59438/59438	---M--	404	error ('Not%20Found')	text/html	etag:%2262837bda-e82e%22	https://metamask.io/images/favicon.png	C:/My%20Web%20Sites/SHIBAINU/metamask.io/images/favicon.e.delayed	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:44:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:44:25%20GMT	https://shibainutoken.me/index.html	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/index-2.html	(from https://shibainutoken.me/)
03:44:19	29154/29154	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2030%20Oct%202021%2012:17:38%20GMT	https://shibainutoken.me/shib-logo.svg	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/shib-logo.svg	(from https://shibainutoken.me/)
03:44:22	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/SHIBAINU/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:44:23	745513/745513	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2014:08:16%20GMT	https://shibainutoken.me/index12.css	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/index12.css	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:44:23	1253/1253	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Nov%202021%2008:00:17%20GMT	https://shibainutoken.me/api/v0/js/core.js?1652784258	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/api/v0/js/core3812.js	(from https://shibainutoken.me/metamask.php?ref=&xyz=1652784251)
03:44:26	1253/1253	---M--	200	added ('OK')	application/javascript	date:Sun,%2028%20Nov%202021%2008:00:17%20GMT	https://shibainutoken.me/api/v0/js/core.js?1652784261	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/api/v0/js/coref99a.js	(from https://shibainutoken.me/blockchain.php?ref=&xyz=1652784251)
03:44:27	745502/745502	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2013:20:14%20GMT	https://shibainutoken.me/indexcoba1.css	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/indexcoba1.css	(from https://shibainutoken.me/blockchain.php?ref=&xyz=1652784251)
03:44:28	1735/1735	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Oct%202021%2012:14:26%20GMT	https://shibainutoken.me/favicon.png	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/favicon.png	(from https://shibainutoken.me/)
03:44:28	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:44:34%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.eot	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.16.delayed	(from https://shibainutoken.me/index12.css)
03:44:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:44:36%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-solid-900.ttf	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-solid-900.1a.delayed	(from https://shibainutoken.me/index12.css)
03:44:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:44:38%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-regular-400.eot	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-regular-400.1c.delayed	(from https://shibainutoken.me/index12.css)
03:44:34	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20May%202022%2010:44:40%20GMT	https://shibainutoken.me/fonts/fontawesome/fa-regular-400.woff2	C:/My%20Web%20Sites/SHIBAINU/shibainutoken.me/fonts/fontawesome/fa-regular-400.1e.delayed	(from https://shibainutoken.me/index12.css)
